tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
CORDSCABLE,CORDS CABLE INDUS.,NSE,CORDSCABLE.NS
COROMANDEL,COROMANDEL INTERNTL.,NSE,COROMANDEL.NS
COSMOFILMS,COSMO FILMS,NSE,COSMOFILMS.NS
COUNCODOS,COUNTRY CONDO'S,NSE,COUNCODOS.NS
CPSEETF,CPSE ETF,NSE,CPSEETF.NS
CRAFTSMAN,CRAFTSMAN AUTOMATION,NSE,CRAFTSMAN.NS
CREATIVE-BE,CREATIVE PERI & DIST.,NSE,CREATIVE-BE.NS
CREATIVEYE,CREATIVE EYE,NSE,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN,NSE,CREDITACC.NS
CREST-BE,CREST VENTURES,NSE,CREST-BE.NS
CRISIL,CRISIL,NSE,CRISIL.NS
CROMPTON,CROMPT GREA CON ELEC,NSE,CROMPTON.NS
CSBBANK,CSB BANK,NSE,CSBBANK.NS
CTE,CAMBRIDGE TECH ENTER,NSE,CTE.NS
CUB,CITY UNION BANK,NSE,CUB.NS
CUBEXTUB,CUBEX TUBINGS,NSE,CUBEXTUB.NS
CUMMINSIND,CUMMINS INDIA,NSE,CUMMINSIND.NS
CUPID,CUPID,NSE,CUPID.NS
CYBERMEDIA-BE,CYBER MEDIA (INDIA).,NSE,CYBERMEDIA-BE.NS
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,NSE,CYBERTECH.NS
CYIENT,CYIENT,NSE,CYIENT.NS
DAAWAT,LT FOODS,NSE,DAAWAT.NS
DABUR,DABUR INDIA,NSE,DABUR.NS
DALALSTCOM-BE,DSJ KEEP LEARNING,NSE,DALALSTCOM-BE.NS
DALBHARAT,DALMIA BHARAT,NSE,DALBHARAT.NS
DALMIASUG,DALMIA BHARAT SUG IN,NSE,DALMIASUG.NS
DAMODARIND-BE,DAMODAR INDUSTRIES,NSE,DAMODARIND-BE.NS
DANGEE,DANGEE DUMS,NSE,DANGEE.NS
DATAMATICS,DATAMATICS GLOBAL SER,NSE,DATAMATICS.NS
DBCORP,D.B.CORP,NSE,DBCORP.NS
DBL,DILIP BUILDCON,NSE,DBL.NS
DBREALTY,D B REALTY,NSE,DBREALTY.NS
DBSTOCKBRO-BE,DB (INT) STOCK BROKERS,NSE,DBSTOCKBRO-BE.NS
DCAL,DISHMAN CARBO AMCIS,NSE,DCAL.NS
DCBBANK,DCB BANK,NSE,DCBBANK.NS
DCM-BE,DCM,NSE,DCM-BE.NS
DCMFINSERV-BE,DCM FINANCIAL SERVICES LT,NSE,DCMFINSERV-BE.NS
DCMNVL,DCM NOUVELLE,NSE,DCMNVL.NS
DCMSHRIRAM,DCM SHRIRAM,NSE,DCMSHRIRAM.NS
DCW,DCW,NSE,DCW.NS
DECCANCE,DECCAN CEMENTS,NSE,DECCANCE.NS
DEEPAKFERT-BE,DEEPAK FERTILIZERS DEPO,NSE,DEEPAKFERT-BE.NS
DEEPAKNTR,DEEPAK NITRITE,NSE,DEEPAKNTR.NS
DEEPENR-BE,DEEP ENE RESOURCES,NSE,DEEPENR-BE.NS
DEEPINDS,DEEP INDUSTRIES,NSE,DEEPINDS.NS
DELTACORP,DELTA CORP,NSE,DELTACORP.NS
DELTAMAGNT,DELTA MANUFACTURING,NSE,DELTAMAGNT.NS
DEN,DEN NETWORKS,NSE,DEN.NS
DENORA,DE NORA INDIA,NSE,DENORA.NS
DEVYANI,DEVYANI INTERNATIONAL,NSE,DEVYANI.NS
DFMFOODS,DFM FOODS,NSE,DFMFOODS.NS
DGCONTENT-BE,DIGICONTENT,NSE,DGCONTENT-BE.NS
DHAMPURSUG,DHAMPUR SUGAR MILLS.,NSE,DHAMPURSUG.NS
